trip_id,start_time,end_time,headway_secs
trip-0,06:00:00,21:00:00,900
trip-1,06:00:00,21:00:00,900
trip-2,06:00:00,21:00:00,900
trip-3,06:00:00,21:00:00,900
trip-4,06:00:00,21:00:00,900
trip-5,06:00:00,21:00:00,900
trip-6,06:00:00,21:00:00,900
trip-7,06:00:00,21:00:00,900
trip-8,06:00:00,21:00:00,900
trip-9,06:00:00,21:00:00,900
trip-10,06:00:00,21:00:00,900
trip-11,06:00:00,21:00:00,900
trip-12,06:00:00,21:00:00,900
trip-13,06:00:00,21:00:00,900
trip-14,06:00:00,21:00:00,900
trip-15,06:00:00,21:00:00,900
trip-16,06:00:00,21:00:00,900
trip-17,06:00:00,21:00:00,900
trip-18,06:00:00,21:00:00,900
trip-19,06:00:00,21:00:00,900
trip-20,06:00:00,21:00:00,900
trip-21,06:00:00,21:00:00,900
trip-22,06:00:00,21:00:00,900
trip-23,06:00:00,21:00:00,900
trip-24,06:00:00,21:00:00,900
trip-25,06:00:00,21:00:00,900
trip-26,06:00:00,21:00:00,900
trip-27,06:00:00,21:00:00,900
trip-28,06:00:00,21:00:00,900
trip-29,06:00:00,21:00:00,900
trip-30,06:00:00,21:00:00,900
trip-31,06:00:00,21:00:00,900
trip-32,06:00:00,21:00:00,900
trip-33,06:00:00,21:00:00,900
trip-34,06:00:00,21:00:00,900
trip-35,06:00:00,21:00:00,900
trip-36,06:00:00,21:00:00,900
trip-37,06:00:00,21:00:00,900
trip-38,06:00:00,21:00:00,900
trip-39,06:00:00,21:00:00,900
trip-40,06:00:00,21:00:00,900
trip-41,06:00:00,21:00:00,900
trip-42,06:00:00,21:00:00,900
trip-43,06:00:00,21:00:00,900
trip-44,06:00:00,21:00:00,900
trip-45,06:00:00,21:00:00,900
trip-46,06:00:00,21:00:00,900
trip-47,06:00:00,21:00:00,900
trip-48,06:00:00,21:00:00,900
trip-49,06:00:00,21:00:00,900
trip-50,06:00:00,21:00:00,900
trip-51,06:00:00,21:00:00,900
trip-52,06:00:00,21:00:00,900
trip-53,06:00:00,21:00:00,900
