trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip-0,,,1274184084,0
trip-0,,,1805062970,1
trip-0,,,1805062851,2
trip-0,,,1805074834,3
trip-0,,,1805087604,4
trip-0,,,1805087571,5
trip-0,,,1872733915,6
trip-0,,,1817037501,7
trip-0,,,1817037493,8
trip-0,,,31228768,9
trip-0,,,2291478684,10
trip-0,,,1822721401,11
trip-0,,,1960042856,12
trip-0,,,2291478683,13
trip-0,,,2382181282,14
trip-1,,,1274184084,0
trip-1,,,1273136740,1
trip-1,,,1803547375,2
trip-1,,,314528404,3
trip-1,,,564118342,4
trip-1,,,1960744496,5
trip-1,,,913398284,6
trip-1,,,1960744390,7
trip-1,,,913398439,8
trip-1,,,1965646270,9
trip-1,,,977632829,10
trip-1,,,1124397505,11
trip-1,,,913398317,12
trip-2,,,1274184084,0
trip-2,,,1830679642,1
trip-2,,,1830679633,2
trip-2,,,1830679638,3
trip-2,,,1279198122,4
trip-2,,,1490234323,5
trip-2,,,1826042154,6
trip-2,,,1281218814,7
trip-2,,,1281218920,8
trip-2,,,1832985899,9
trip-2,,,1395061503,10
trip-2,,,31151483,11
trip-2,,,31019074,12
trip-2,,,560500317,13
trip-2,,,360705527,14
trip-2,,,253198544,15
trip-2,,,360728723,16
trip-2,,,360732075,17
trip-3,,,943246313,0
trip-3,,,1806066068,1
trip-3,,,31019734,2
trip-3,,,558561819,3
trip-3,,,1776714654,4
trip-3,,,2404415451,5
trip-3,,,2360183669,6
trip-3,,,1776714288,7
trip-3,,,1945933025,8
trip-3,,,1802350559,9
trip-3,,,1376180845,10
trip-3,,,1830598346,11
trip-3,,,1830567764,12
trip-3,,,1523358463,13
trip-3,,,1830567768,14
trip-4,,,1830616461,0
trip-4,,,2396022575,1
trip-4,,,31232256,2
trip-4,,,943246313,3
trip-4,,,1274184084,4
trip-4,,,1805062970,5
trip-4,,,1805062851,6
trip-4,,,1805074834,7
trip-4,,,1805087604,8
trip-4,,,1805087571,9
trip-4,,,1882490078,10
trip-5,,,1274184084,0
trip-5,,,977642700,1
trip-5,,,1830616461,2
trip-5,,,2396022575,3
trip-5,,,31232256,4
trip-5,,,1806066068,5
trip-5,,,31019734,6
trip-5,,,558561819,7
trip-5,,,1776714654,8
trip-5,,,2404415451,9
trip-5,,,2360183669,10
trip-5,,,1776714288,11
trip-5,,,1802350559,12
trip-5,,,1376180845,13
trip-5,,,1830598346,14
trip-5,,,1830567764,15
trip-5,,,1523358463,16
trip-5,,,360743086,17
trip-6,,,360743086,0
trip-6,,,1523358463,1
trip-6,,,1830567764,2
trip-6,,,1830598346,3
trip-6,,,1376180845,4
trip-6,,,1802350559,5
trip-6,,,1776714288,6
trip-6,,,2360183669,7
trip-6,,,2404415451,8
trip-6,,,1776714654,9
trip-6,,,558561819,10
trip-6,,,31019734,11
trip-6,,,1806066068,12
trip-6,,,313917671,13
trip-6,,,1274184084,14
trip-7,,,2022632174,0
trip-7,,,31303568,1
trip-7,,,728167845,2
trip-7,,,1659430258,3
trip-7,,,2396102541,4
trip-7,,,1497194461,5
trip-7,,,1497194463,6
trip-7,,,313544725,7
trip-7,,,360464983,8
trip-7,,,2376160425,9
trip-7,,,1496605759,10
trip-7,,,1497531299,11
trip-7,,,1667090463,12
trip-7,,,1489359269,13
trip-7,,,1489359102,14
trip-7,,,1280128354,15
trip-7,,,31228768,16
trip-9,,,434978493,0
trip-9,,,725879816,1
trip-9,,,670651214,2
trip-9,,,317532028,3
trip-9,,,1817322707,4
trip-9,,,1805074877,5
trip-9,,,1830711730,6
trip-9,,,977642700,7
trip-9,,,1830616461,8
trip-9,,,2396022575,9
trip-9,,,31232256,10
trip-9,,,1806066068,11
trip-9,,,31019734,12
trip-9,,,268307740,13
trip-9,,,268307757,14
trip-9,,,268307761,15
trip-9,,,1279198216,16
trip-9,,,313140515,17
trip-10,,,1882601487,0
trip-10,,,1845683513,1
trip-10,,,360695719,2
trip-10,,,1281221704,3
trip-10,,,360695713,4
trip-10,,,1399427366,5
trip-10,,,1281218920,6
trip-10,,,1832985899,7
trip-10,,,1395061503,8
trip-10,,,31151483,9
trip-11,,,2360183669,0
trip-11,,,1776714288,1
trip-11,,,1945933025,2
trip-11,,,480425408,3
trip-11,,,480429211,4
trip-11,,,1143813991,5
trip-11,,,1523319418,6
trip-11,,,2010535723,7
trip-11,,,31151483,8
trip-11,,,1395061503,9
trip-11,,,1832985899,10
