route_id,service_id,trip_id,shape_id
2276770,calendar-0,trip-0,shape-0
2282031,calendar-0,trip-1,shape-1
2282101,calendar-0,trip-2,shape-2
2295734,calendar-0,trip-3,shape-3
2295986,calendar-0,trip-4,shape-4
2301205,calendar-0,trip-5,shape-5
2301206,calendar-0,trip-6,shape-6
2301263,calendar-0,trip-7,shape-7
2301306,calendar-0,trip-8,shape-8
2301342,calendar-0,trip-9,shape-9
2301357,calendar-0,trip-10,shape-10
2301358,calendar-0,trip-11,shape-11
2302674,calendar-0,trip-12,shape-12
2323381,calendar-0,trip-13,shape-13
2909799,calendar-0,trip-14,shape-14
2975649,calendar-0,trip-15,shape-15
2988806,calendar-0,trip-16,shape-16
2988809,calendar-0,trip-17,shape-17
2988810,calendar-0,trip-18,shape-18
2988835,calendar-0,trip-19,shape-19
2988836,calendar-0,trip-20,shape-20
2988890,calendar-0,trip-21,shape-21
2988891,calendar-0,trip-22,shape-22
2988893,calendar-0,trip-23,shape-23
2988983,calendar-0,trip-24,shape-24
2988993,calendar-0,trip-25,shape-25
2989012,calendar-0,trip-26,shape-26
2989027,calendar-0,trip-27,shape-27
2989036,calendar-0,trip-28,shape-28
2989052,calendar-0,trip-29,shape-29
2989074,calendar-0,trip-30,shape-30
2989075,calendar-0,trip-31,shape-31
3014451,calendar-0,trip-32,shape-32
3020174,calendar-0,trip-33,shape-33
3020212,calendar-0,trip-34,shape-34
3020213,calendar-0,trip-35,shape-35
3020231,calendar-0,trip-36,shape-36
3020244,calendar-0,trip-37,shape-37
3028077,calendar-0,trip-38,shape-38
3062309,calendar-0,trip-39,shape-39
3068536,calendar-0,trip-40,shape-40
3068548,calendar-0,trip-41,shape-41
3069621,calendar-0,trip-42,shape-42
3070257,calendar-0,trip-43,shape-43
3070262,calendar-0,trip-44,shape-44
3070344,calendar-0,trip-45,shape-45
3071402,calendar-0,trip-46,shape-46
3072924,calendar-0,trip-47,shape-47
3074202,calendar-0,trip-48,shape-48
3100600,calendar-0,trip-49,shape-49
3102124,calendar-0,trip-50,shape-50
3138552,calendar-0,trip-51,shape-51
3169466,calendar-0,trip-52,shape-52
3169489,calendar-0,trip-53,shape-53
