shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shape-0,27.7182038,85.3121379,0
shape-0,27.7178389,85.3132160,1
shape-0,27.7178389,85.3132160,2
shape-0,27.7176746,85.3137117,3
shape-0,27.7173801,85.3148107,4
shape-0,27.7173801,85.3148107,5
shape-0,27.7172096,85.3154512,6
shape-0,27.7171103,85.3158242,7
shape-0,27.7170479,85.3160463,8
shape-0,27.7137405,85.3154212,9
shape-0,27.7145642,85.3155769,10
shape-0,27.7170479,85.3160463,11
shape-0,27.7115275,85.3150203,12
shape-0,27.7126320,85.3152198,13
shape-0,27.7137405,85.3154212,14
shape-0,27.7100354,85.3148074,15
shape-0,27.7103118,85.3148393,16
shape-0,27.7106227,85.3148842,17
shape-0,27.7109215,85.3149271,18
shape-0,27.7115275,85.3150203,19
shape-0,27.7089122,85.3146069,20
shape-0,27.7096742,85.3147384,21
shape-0,27.7100354,85.3148074,22
shape-0,27.7087514,85.3146266,23
shape-0,27.7089122,85.3146069,24
shape-0,27.7087514,85.3146266,25
shape-0,27.7087458,85.3148275,26
shape-0,27.7087676,85.3150363,27
shape-0,27.7088290,85.3152920,28
shape-0,27.7088290,85.3152920,29
shape-0,27.7089968,85.3158909,30
shape-0,27.7092315,85.3165430,31
shape-0,27.7093062,85.3167379,32
shape-0,27.7093062,85.3167379,33
shape-0,27.7093126,85.3168245,34
shape-0,27.7093039,85.3169219,35
shape-0,27.7092823,85.3169850,36
shape-0,27.7092372,85.3170343,37
shape-0,27.7091737,85.3170795,38
shape-0,27.7090647,85.3171041,39
shape-0,27.7090647,85.3171041,40
shape-0,27.7081002,85.3168181,41
shape-0,27.7081002,85.3168181,42
shape-0,27.7080425,85.3171161,43
shape-0,27.7080425,85.3171161,44
shape-0,27.7080267,85.3175553,45
shape-0,27.7080508,85.3179796,46
shape-0,27.7080655,85.3181818,47
shape-0,27.7080261,85.3186588,48
shape-0,27.7080024,85.3190296,49
shape-0,27.7080022,85.3191418,50
shape-0,27.7080005,85.3199425,51
shape-0,27.7079870,85.3205974,52
shape-0,27.7079971,85.3212825,53
shape-0,27.7079971,85.3212825,54
shape-0,27.7080033,85.3218553,55
shape-0,27.7080033,85.3218553,56
shape-0,27.7081802,85.3218606,57
shape-0,27.7097482,85.3220986,58
shape-0,27.7097482,85.3220986,59
shape-0,27.7103344,85.3222246,60
shape-0,27.7103344,85.3222246,61
shape-0,27.7103235,85.3222860,62
shape-0,27.7103235,85.3222860,63
shape-0,27.7102958,85.3226936,64
shape-0,27.7102533,85.3231239,65
shape-0,27.7101694,85.3245083,66
shape-0,27.7101252,85.3250290,67
shape-0,27.7100108,85.3260330,68
shape-0,27.7099528,85.3262248,69
shape-0,27.7099528,85.3262248,70
shape-0,27.7097907,85.3270373,71
shape-0,27.7097907,85.3270373,72
shape-0,27.7095684,85.3278685,73
shape-0,27.7095684,85.3278685,74
shape-0,27.7093301,85.3288569,75
shape-0,27.7091263,85.3297726,76
shape-0,27.7090870,85.3298996,77
shape-0,27.7090135,85.3302767,78
shape-0,27.7089243,85.3306445,79
shape-0,27.7088912,85.3307985,80
shape-0,27.7087125,85.3314973,81
shape-0,27.7086742,85.3318478,82
shape-0,27.7086742,85.3318478,83
shape-0,27.7086640,85.3319235,84
shape-0,27.7086640,85.3319235,85
shape-0,27.7086895,85.3319884,86
shape-0,27.7086202,85.3322330,87
shape-0,27.7084671,85.3327343,88
shape-0,27.7084226,85.3328990,89
shape-0,27.7083656,85.3330730,90
shape-0,27.7083006,85.3332857,91
shape-0,27.7083049,85.3333750,92
shape-0,27.7083049,85.3333750,93
shape-0,27.7080952,85.3334230,94
