trip_id,arrival_time,departure_time,stop_id,stop_sequence
trip-0,,,268545728,0
trip-0,,,728153897,1
trip-0,,,31019734,2
trip-0,,,1806066068,3
trip-0,,,313917671,4
trip-0,,,1806066069,5
trip-0,,,1273357490,6
trip-0,,,1279198122,7
trip-0,,,1490234323,8
trip-0,,,1826042154,9
trip-0,,,1274038133,10
trip-0,,,1281218812,11
trip-0,,,31150643,12
trip-0,,,1394568906,13
trip-0,,,31150627,14
trip-0,,,31150618,15
trip-0,,,31150664,16
trip-0,,,31230922,17
trip-1,,,31228768,0
trip-2,,,1489359102,0
trip-2,,,1829640347,1
trip-2,,,1829640344,2
trip-2,,,253205163,3
trip-2,,,425227547,4
trip-2,,,425227584,5
trip-2,,,425256487,6
trip-2,,,317532042,7
trip-2,,,725879816,8
trip-2,,,670651214,9
trip-2,,,317532028,10
trip-2,,,1817322707,11
trip-2,,,1805074877,12
trip-2,,,1830711730,13
trip-2,,,977642700,14
trip-2,,,1830616461,15
trip-2,,,2396022575,16
trip-2,,,31232256,17
trip-2,,,943246313,18
trip-3,,,943246313,0
trip-3,,,1274184084,1
trip-3,,,1805062970,2
trip-3,,,1805062851,3
trip-3,,,1817322707,4
trip-3,,,317532028,5
trip-3,,,670651214,6
trip-3,,,725879816,7
trip-3,,,317532042,8
trip-3,,,425256487,9
trip-3,,,425227584,10
trip-3,,,425227547,11
trip-4,,,1950338924,0
trip-4,,,1317084932,1
trip-4,,,1317084963,2
trip-4,,,1845683513,3
trip-4,,,1882601487,4
trip-4,,,1830679639,5
trip-4,,,1281221676,6
trip-4,,,1845868815,7
trip-4,,,1830679636,8
trip-4,,,415553223,9
trip-4,,,1830679630,10
trip-4,,,1274183622,11
trip-4,,,1830679652,12
trip-4,,,1830679638,13
trip-4,,,1830679633,14
trip-4,,,1830679642,15
trip-4,,,977642700,16
trip-4,,,1830616461,17
trip-5,,,1830616461,0
trip-5,,,2396022575,1
trip-5,,,31232256,2
trip-5,,,943246313,3
trip-5,,,1274184084,4
trip-5,,,1830679642,5
trip-5,,,1830679633,6
trip-5,,,1830679638,7
trip-5,,,1830679652,8
trip-5,,,1274183622,9
trip-5,,,1830679630,10
trip-5,,,415553223,11
trip-5,,,1830679636,12
trip-5,,,1845868815,13
trip-5,,,1281221676,14
trip-5,,,1830679639,15
trip-5,,,1882601487,16
trip-5,,,1845683513,17
trip-5,,,1317084963,18
trip-5,,,1317084932,19
trip-5,,,1950338924,20
trip-6,,,1399427366,0
trip-6,,,360695713,1
trip-6,,,1281221704,2
trip-6,,,360695719,3
trip-6,,,1845683513,4
trip-6,,,1882601487,5
trip-6,,,1830679639,6
trip-6,,,1281221676,7
trip-6,,,1845868815,8
trip-6,,,1830679636,9
trip-6,,,415553223,10
trip-6,,,1830679630,11
trip-6,,,1274183622,12
trip-6,,,1830679652,13
trip-6,,,1830679638,14
trip-6,,,1830679633,15
trip-6,,,1830679642,16
trip-6,,,977642700,17
trip-6,,,1830616461,18
trip-7,,,1830616461,0
trip-7,,,2396022575,1
trip-7,,,31232256,2
trip-7,,,943246313,3
trip-7,,,1274184084,4
trip-7,,,1830679642,5
trip-7,,,1830679633,6
trip-7,,,1830679638,7
trip-7,,,1830679652,8
trip-7,,,1274183622,9
trip-7,,,1830679630,10
trip-7,,,415553223,11
trip-7,,,1830679636,12
trip-7,,,1845868815,13
trip-7,,,1281221676,14
trip-7,,,1830679639,15
trip-7,,,1882601487,16
trip-7,,,1845683513,17
trip-7,,,360695719,18
trip-7,,,1281221704,19
trip-7,,,360695713,20
trip-7,,,1399427366,21
trip-8,,,31303568,0
trip-8,,,268116939,1
trip-8,,,268545728,2
trip-8,,,728153897,3
trip-8,,,31019734,4
trip-8,,,1806066068,5
trip-8,,,313917671,6
trip-8,,,943246313,7
trip-9,,,564118342,0
trip-9,,,314528404,1
trip-9,,,2373352536,2
trip-9,,,317532028,3
trip-9,,,1817322707,4
trip-9,,,1805074834,5
trip-9,,,1805087604,6
trip-9,,,1805087571,7
trip-9,,,1882490078,8
trip-10,,,1805087571,0
trip-10,,,1872733915,1
trip-10,,,1817037501,2
trip-10,,,1817037493,3
trip-10,,,31228768,4
trip-10,,,1280128354,5
trip-10,,,1489359102,6
trip-10,,,1489359269,7
trip-10,,,1667090463,8
trip-10,,,1273477941,9
trip-10,,,268307973,10
trip-10,,,360455539,11
trip-10,,,1273478102,12
trip-10,,,1273477942,13
trip-10,,,1847670813,14
trip-10,,,425307054,15
trip-10,,,1880066206,16
trip-10,,,725879816,17
trip-10,,,670651214,18
trip-10,,,317532028,19
trip-10,,,1817322707,20
trip-10,,,1805074834,21
trip-10,,,1805087604,22
